Date,SPY,IWM,GLD,TLT,IYR,XME,EEM
2006-06-22,124.46,68.24,57.73,83.59,68.96,45.07,29.19
2006-06-23,124.47,68.65,57.99,83.42,68.7,45.99,29.14
2006-06-26,124.99,69.1,58.28,83.42,69.39,46.31,29.27
2006-06-27,123.91,68.3,57.68,83.67,69.25,45.97,28.59
2006-06-28,124.75,68.6,57.54,83.25,69.49,46.34,29.48
2006-06-29,127.27,71.25,59.52,83.51,70.91,49.29,31.24
2006-06-30,127.23,71.73,61.23,84.32,71.25,49.48,31.27
2006-07-03,127.8,72.63,62.18,83.91,72.54,50.83,31.96
2006-07-05,127.07,71.57,62.5,83.24,72.5,50.0,30.97
2006-07-06,127.44,71.55,63.02,83.75,72.7,50.05,31.6
2006-07-07,126.61,70.49,62.63,84.29,72.4,49.36,31.0
2006-07-10,126.85,70.5,62.02,84.37,73.15,49.08,31.25
2006-07-11,127.41,71.12,63.81,84.64,73.13,49.06,31.4
2006-07-12,126.05,69.65,64.92,84.66,73.45,48.76,30.7
2006-07-13,124.0,68.07,65.55,84.99,72.31,46.63,29.49
2006-07-14,123.52,67.53,65.85,85.04,71.34,46.03,29.64
2006-07-17,123.34,67.44,63.95,85.17,71.29,45.19,29.17
2006-07-18,123.97,67.9,62.9,84.44,72.08,44.97,29.58
2006-07-19,125.69,69.5,64.03,85.24,73.86,47.2,31.4
2006-07-20,124.83,67.72,62.54,85.49,72.95,44.76,30.5
2006-07-21,123.95,66.75,61.71,85.33,71.59,42.99,29.91
2006-07-24,126.21,68.88,61.14,85.28,72.84,43.58,31.25
2006-07-25,126.66,69.05,61.55,85.03,73.34,45.34,31.34
2006-07-26,126.83,68.9,62.0,85.34,73.65,44.81,31.2
2006-07-27,126.71,68.24,62.9,85.21,73.1,44.08,31.63
2006-07-28,127.98,69.67,63.11,85.7,74.19,44.08,32.31
2006-07-31,127.85,69.68,63.16,85.8,73.85,45.91,32.0
2006-08-01,127.22,68.59,64.32,85.46,73.5,45.36,31.49
2006-08-02,128.08,69.5,64.75,85.78,73.5,46.38,31.9
2006-08-03,128.42,70.34,64.12,85.8,74.29,46.48,31.87
2006-08-04,128.2,69.62,64.28,86.32,75.4,45.3,31.93
2006-08-07,127.95,69.35,64.5,86.37,74.58,45.92,31.73
2006-08-08,127.41,68.39,63.97,86.18,73.36,44.87,31.73
2006-08-09,126.98,67.7,64.63,85.9,72.68,44.84,31.85
2006-08-10,127.37,68.3,63.25,85.77,72.83,44.43,32.18
2006-08-11,127.01,67.6,62.71,85.4,72.23,43.54,31.79
2006-08-14,127.11,68.0,62.25,85.25,72.9,42.82,31.92
2006-08-15,128.63,69.42,62.01,85.97,73.75,43.98,32.7
2006-08-16,129.79,70.42,62.49,86.55,73.95,45.38,33.02
2006-08-17,130.03,70.53,61.03,86.52,74.03,44.66,33.07
2006-08-18,130.69,70.94,61.04,86.77,74.05,45.1,32.75
2006-08-21,130.13,70.18,62.44,87.08,74.48,45.28,32.58
2006-08-22,130.12,70.41,62.05,87.11,75.15,45.01,32.57
2006-08-23,129.76,69.6,61.83,87.15,74.31,44.31,31.98
2006-08-24,129.65,69.48,61.75,87.31,74.66,44.07,31.9
2006-08-25,129.81,69.6,61.77,87.44,74.58,44.46,31.99
2006-08-28,130.43,70.34,61.0,87.52,75.5,43.82,32.35
2006-08-29,130.58,71.25,60.94,87.64,75.5,44.23,32.46
2006-08-30,130.66,71.8,61.42,87.87,76.05,43.89,32.6
2006-08-31,130.64,71.77,62.29,88.08,76.05,44.31,32.51
2006-09-01,131.42,71.82,62.14,87.76,75.67,45.08,32.87
2006-09-05,131.67,72.47,63.36,87.26,76.31,46.22,33.05
2006-09-06,130.51,70.93,62.86,87.09,75.92,44.9,32.1
2006-09-07,129.91,70.3,61.25,87.26,75.43,44.03,31.73
2006-09-08,130.28,70.57,60.64,87.33,76.2,43.39,31.99
2006-09-11,130.41,70.48,58.5,87.25,76.31,40.8,31.31
2006-09-12,131.69,72.14,58.32,87.69,77.3,41.16,31.84
2006-09-13,132.22,72.75,58.62,87.73,78.0,42.36,32.32
2006-09-14,132.23,72.49,57.19,87.53,78.0,41.3,32.05
2006-09-15,131.96,72.66,57.4,87.46,78.2,41.51,32.24
2006-09-18,132.14,72.64,58.23,87.4,77.75,42.19,32.6
2006-09-19,131.81,72.32,56.92,88.3,78.25,41.43,32.1
2006-09-20,132.51,73.29,57.26,88.43,78.0,40.93,32.76
2006-09-21,131.87,72.5,57.95,89.24,77.2,41.04,31.96
2006-09-22,131.47,71.54,58.5,89.61,77.6,40.19,31.56
2006-09-25,132.48,72.39,58.5,90.31,77.55,39.72,31.92
2006-09-26,133.58,72.39,58.74,89.93,76.85,41.4,32.3
2006-09-27,133.74,72.92,59.81,89.63,77.52,41.25,32.22
2006-09-28,133.69,72.63,59.79,89.52,77.25,41.35,32.48
2006-09-29,133.58,72.0,59.47,89.39,77.15,41.38,32.22
2006-10-02,133.08,71.32,59.15,89.3,77.13,41.33,32.17
2006-10-03,133.36,71.22,57.11,89.18,77.88,39.67,31.73
2006-10-04,134.92,72.95,56.37,89.83,78.75,39.96,32.58
2006-10-05,135.18,73.88,56.92,89.2,79.23,42.05,33.02
2006-10-06,135.01,73.5,56.99,88.27,78.65,42.07,32.93
2006-10-09,135.09,74.06,57.2,88.51,79.18,42.61,32.81
2006-10-10,135.27,74.1,57.0,87.81,79.21,43.65,33.11
2006-10-11,135.11,73.81,56.88,87.58,79.0,43.4,32.93
2006-10-12,136.28,75.3,57.49,87.6,79.75,44.78,33.73
2006-10-13,136.63,75.9,58.57,87.16,80.52,45.2,33.93
2006-10-16,136.84,76.35,59.17,87.55,80.86,46.27,34.03
2006-10-17,136.41,75.97,58.65,87.62,80.46,45.95,33.58
2006-10-18,136.59,75.98,58.59,87.8,80.95,45.37,33.91
2006-10-19,136.81,76.35,59.41,87.64,80.75,46.89,34.06
2006-10-20,136.84,75.6,58.78,87.55,80.65,45.89,33.9
2006-10-23,137.47,75.75,57.76,87.2,81.03,46.32,33.87
2006-10-24,137.88,75.9,58.17,87.2,80.8,48.11,34.06
2006-10-25,138.35,76.4,58.76,87.89,81.21,48.43,34.46
2006-10-26,138.78,77.04,59.29,88.46,82.0,48.23,34.54
